Department,CourseName,Course,Program,CourseCode,Offerings that are sustainable,CourseDescription,Focused or Inclusive,Cross Listed
Interdepartmental Arts,"The Harlem Renaissance: Early 20th-Century African American Literature, Art and Politics",AAS 325,AAS,325,All offerings,"Explore the extraordinary flowering of African American literary, artistic and political life in the early 20th century. Study masterpieces of African American literature, music, visual art, and political imagination. Consider how artists and activists represented the diversity of Black life in America and reimagined race relations during the Jim Crow era. Learn how works by Langston Hughes, Zora Neale Hurston, Bessie Smith, Aaron Douglas and many others can assist us in realizing the promise of racial justice.",Sustainability-inclusive,ENGL 325
Interdepartmental Arts,Special Topics in Africana Studies,AAS 391,AAS,391,Specific offerings,"From the ideas of Phillis Wheatley and other writers in early America to Black intellectuals in the Civil Rights movement and up to the present day, this course explores the thinkers critical to the establishment of a Black intellectual tradition. Emphasis placed on the concepts and debates central to this tradition, as well as the sites and sources of Black intellectual exchange, including monographs, speeches, newspapers, podcasts, and social media.",Sustainability-inclusive,
Interdepartmental Arts,Special Topics in Africana Studies,AAS 391,AAS,391,Specific offerings,"The Rights of Man, Thomas Paine’s classic argument in defense of the individual’s right to assert freedom in the face of tyranny, was a popular late-eighteenth century refrain originating from the 1789 French Revolution. But generalized arguments about individual human rights also gave rise to specific debates concerning the rights of women and Negro slaves. What rights were these individuals denied in eighteenth-century Britain and how did the period’s
literature reflect their dilemmas? This course will consider these questions as a way of introducing you to the study of race and gender in a British colonial context. But it is articularly concerned with occasions in literature where British writers combined simultaneous discourses about race and gender in ways that sometimes helped and at other times hindered the fights against tyranny that Negro slaves and female advocates fought. We will read plays, poetry, novels, short stories, travel literature, and non-fiction prose as well as recent theories
about gender and racial construction in the eighteenth century to discuss representations of British men and women, and colonial Others like Negro slaves, Creoles and Jews. We will consider an assortment of issues ranging from slavery, anti-slavery, abolition, miscegenation, mimicry, ambivalence, hybridity, anti-Semitism, blackness and whiteness, to marriage, libertinism, and sexual double standards in a variety of canonical and obscure texts. This course fulfills ENGL 1660 to 1900 degree requirement and can be taken for WGSS and AAS credit toward the major/minor; may count toward Africana major or minor either as an elective course, OR as a ""breadth course"" in the ""Visual & Performing Arts or Literature"" category; WGSS elective for the major as a humanities course (in the humanities concentration or as a humanities elective).",Sustainability-inclusive,
Interdepartmental Arts,Black Feminist Thought and the Media Industries,AAS 393,AAS,393,Specific offerings,"From the Oscar-winning documentary 20 Feet from Stardom to Lifetime’s investigative series Surviving R.Kelly, recent media highlights injustices faced by black women in the media industries. This course historicizes the place of black women within media, introduces students to Black Feminist Thought, and unpacks concepts such as hypervisibility, intersectionality, and womanism. It explores how race and gender manifest in (and are challenged by) the creative industries. Course fills major and minor requirements in AAS and WGSS.",Sustainability-inclusive,WGSS 393
Interdepartmental Arts,Black Feminist Thought and the Media Industries,AAS 396,AAS,396,Specific offerings,"From the Oscar-winning documentary 20 Feet from Stardom to Lifetimeâ€™s six-part investigative series Surviving R.Kelly, recent media has highlighted the particular injustices and inequities faced by black women in the popular music industry and media industries more broadly. This course historicizes the place of black women within media industries, introduces students to Black Feminist Thought, and unpacks key concepts such as hypervisibility, intersectionality, womanism, and hegemony. Altogether, it explores how difference and inequity are manifest in (and sometimes challenged by) work in the creative industries, specifically music, television, and film. This course can be applied toward the concentration Social & Behavioral Sciences or an AAS elective; this course fulfill major concentration, major non-concentration and or major elective; an approved elective for WGSS major/minor or may be applied toward a concentration. Sophomores who are interested in registering for this course should email the instructor for consideration.",Sustainability-inclusive,WGSS 393
Accounting,Cost Accounting,ACCT 324,ACCT,324,"Hinrichs, Dave ","An in-depth study of cost concepts appropriate for product costing in a manufacturing operation, planning and controlling routine operations, and nonroutine decision-making. Topics include job order and process costing, joint and by-products, cost allocation, budgeting, standard costing, direct costing, cost-volume-profit analysis, and relevant costs for decisions. The course is also open to sophomores with the appropriate prerequisites",Sustainability-inclusive,
Sociology and Anthropology,Cultural Diversity and Human Nature,ANTH 011,ANTH,011,All offerings,"A cross-cultural investigation of variation in human societies. Examines forms of social organization, kinship, religion, symbolism, and language through the consideration of specific cultural case studies in local and global contexts. Students will learn how anthropological research methods enhance understanding of contemporary social issues, help solve real-world problems, and foster an informed perspective on what it means to be human.",Sustainability-inclusive,
Sociology and Anthropology,Introduction to Archaeology & Human Origins,ANTH 012,ANTH,012,All offerings,"Explore how archaeologists and biological anthropologists scientifically study human evolution and how diverse human societies arose. Examine theories and evidence showing what makes both species and cultures adapt and change. Specific topics include: genetics; natural selection; primate behavior; dating and excavation methods; beginnings of art, agriculture, and inequality; and how researchers respond to racist and pseudoscientific claims about the past. Use data from archaeology, biology, and geology to support evidence-based explanations for what forces have made us human.",Sustainability-inclusive,
Sociology and Anthropology,Freshman Seminar in Anthropology,ANTH 090,ANTH,090,Specific offerings,"This class interrogates America’s self-conception as the land of opportunity, where anyone who works hard enough can have a house with a white picket fence. How and why did the detached single-family home even become such an icon of American success? What are the ramifications of a social life oriented around the nuclear family? Is upward mobility a myth? How do manicured lawns contribute to climate change? We will discuss these questions and more through the lens of anthropology, urban studies, and other interdisciplinary fields.",Sustainability-inclusive,
Sociology and Anthropology,Freshman Seminar in Anthropology,ANTH 090,ANTH,090,Specific offerings,"This course will examine the concept of race and how this concept has been deployed in different societies including the United States. Through readings of social science, biology, and memoir, students will learn how race can be both a social construct and a significant variable in the distribution of power and privilege. Multiracial identities will be central to these explorations. In confronting the illusory aspects of race, students will apply principles of scientific reasoning and evidence.",Sustainability-inclusive,
Sociology and Anthropology,Indigenous Cultures of Latin America,ANTH 096,ANTH,096,Specific offerings,"This course examines social change in Latin America from the perspective of indigenous peoples. Main goals are to develop an appreciation for the diversity of cultures found in Latin America, explore anthropological concepts like cultural ecology, ethnicity, acculturation, and religious syncretism, and to apply these concepts to contemporary issues, including cultural survival, human rights, and environmental sustainability. This course satisfies the Social Science distribution requirement in the College of Arts & Sciences and the Diversity requirement in the College of Business. Course is an approved elective for major and minor programs in Anthropology and Anthropology & Sociology.",Sustainability-inclusive,
Sociology and Anthropology,Cultural Studies and Globalization,ANTH 106,ANTH,106,All offerings,"This course closely examines the complex relationship between culture and globalization. The impact of globalization on local culture is an essential topic. But the interaction of globalization and culture is not a one-way process. People around the world adapt globalization to their own uses, merging global cultural flows with local practices in transformative ways. The course will study the interaction of local culture with globalizing forces; immigration and culture; the localizing of mass culture; cultures of diasporic and migratory groups, Cross-listed with GS 109",Sustainability-inclusive,GS 109
Sociology and Anthropology,Culture Theory,ANTH 113,ANTH,113,All offerings,"This course immerses students in Anthropological theories that seek to explain global cultural diversity, patterns of similarities, and evolution of societies through time. Students will learn how anthropological theories help us to understand contemporary cultural issues, solve real-world problems, and foster an informed perspective on what it means to be human.",Sustainability-inclusive,
Sociology and Anthropology,Environment and Culture,ANTH 121,ANTH,121,All offerings,Impact of environment upon cultural variability and change. Comparative study of modern and past cultures and their environments as well as current theories of human/ environmental interaction. Cross-listed with EVST 121,Sustainability-focused,EVST 121
Sociology and Anthropology,Human Evolution,ANTH 145,ANTH,145,All offerings,"Principles of biological anthropology focusing on the evolution of the human species. Topics include evolutionary theory, nonhuman primate diversity and behavior, the relationship between biology and behavior in evolutionary terms, the hominid fossil record, and genetic variability among contemporary human populations.",Sustainability-inclusive,
Sociology and Anthropology,Medical Anthropology,ANTH 155,ANTH,155,All offerings,"Medical Anthropology is the study of how conceptions of health, illness, and healing methods vary over time and across cultures. Students will learn how social and cultural factors shape health outcomes in a variety of human contexts, and will study culturally specific approaches to healing, including Western bio-medicine. The course offers a broad understanding of the relationship between culture, health, and healing. Cross-listed with GS 155, HMS 155",Sustainability-inclusive,"GS 155, HMS 155"
Sociology and Anthropology,Peoples & Cultures Of Southeast Asia,ANTH 187,ANTH,187,All offerings,"Southeast Asia is said to be on the rise. But from where has Southeast Asia risen? And what are the social consequences of this so-called rise? Addressing these questions, this course provides a broad introductory overview of contemporary Southeast Asia, surveying the region’s extraordinary diversity and ongoing political, economic, and sociocultural transformations. Through engagement with ethnographic materials, the course further explores how everyday Southeast Asians negotiate and contend with ongoing challenges associated with the forces of globalization.",Sustainability-inclusive,ASIA 187
Sociology and Anthropology,Anthropology of Violence and Conflict,ANTH 197,ANTH,197,Specific offerings,"Are humans inherently violent or peaceful? This class explores the phenomenon of large-scale violence and conflict through philosophy, archaeology, history, and human evolutionary biology, and examines how violence is wielded by various groups throughout time and around the world. We will read and discuss theories and perspectives on the impact, potential utility, and effective alternatives to violence and conflict.",Sustainability-inclusive,
Sociology and Anthropology,So You Want to Save the World: Anthropological Encounters with Humanitarianism and Development,ANTH 317,ANTH,317,All offerings,"We are often motivated by the desire to “give back”-- feed the hungry, heal the sick, and help those less fortunate than ourselves. Anthropological research on humanitarian aid, development projects, and other interventions meant to improve human lives in various contexts shows us why these efforts often go awry. Focusing primarily on settings outside the U.S., students will consider the pitfalls of developmental and humanitarian interventions as well as the crucial role of local knowledge in addressing complex global problems. Cross-listed with AAS 317, GS 318",Sustainability-focused,"AAS 317, GS 318"
Sociology and Anthropology,Global Capitalism,ANTH 320,ANTH,320,All offerings,"Anthropological approach to the forms and effects of global capitalism. Topics include the structure of contemporary global capitalism, including the growth of multinational corporations, flexible corporate strategies, overseas manufacturing, and global branding and marketing; the impact of global capitalism on the environment and on the lives of people in ""Third World"" countries; consumer culture and the diversity of non-Western consumption practices; alternative capitalist systems.",Sustainability-inclusive,GS 320
"Art, Architecture, and Design",Modern History and Sustainable Architecture in Munich,ARCH 159,ARCH,159,All offerings,"This Lehigh faculty-led study abroad program allows students from an array of majors to earn three credits over winter break. The program will explore the history, culture, and architecture of Munich, a capital and center of the southern state of Germany, Bavaria. The program of study does not require German language skills. Fulfills an history/theory elective requirement for the BA in Architecture major.",Sustainability-inclusive,
"Art, Architecture, and Design",Freshman Seminar in Art,ART 090,ART,090,Specific offerings,"This course will introduce students to the creative practice of art making focused on the intersection between art and climate change with interdisciplinary experiential learning. Art 21 Climate Crisis and virtual studio visits with climate change artists and eco activism will inform our course dialogue. Research utilizing the LUAG collection, readings, discussions and project based learning will be the core of the classwork. Students will choose topics such as rising sea levels, famine, floods, disease, storms and temperature to investigate. Professors from Earth Sciences, Biology and Sustainability will give pop up lectures throughout the semester. Mixed media techniques, demonstrations of data visualization, sketchbook assignments, critique, gallery/museum visits and lectures will comprise the basis of this creative inquiry class. A field trip to the Nurture Nature Center (Easton) will enable students to observe and study a variety of approaches to the art of science.",Sustainability-inclusive,
"Art, Architecture, and Design",Freshman Seminar in Art,ART 090,ART,090,Specific offerings,"This course will introduce students to the creative practice of art making focused on the intersection between art and climate change. Lectures by Lehigh Climate Change scientists, Philadelphia based Climate Change artists inform our course dialogue. Research utilizing the LUAG collection, readings, discussions and project based learning will be the core of the classwork. Students research topics such as Rising Sea Levels, Famine, Disease and Temperature to create artworks that communicate their findings. Mixed media techniques, demonstrations of data visualization, sketchbook assignments, critique, gallery/museum visits and lectures will comprise the basis of this creative inquiry class.",Sustainability-inclusive,
"Art, Architecture, and Design",Women In Art,ART 121,ART,121,All offerings,"A history of women artists from Renaissance to present day, with emphasis on artists of the 20th and 21st century from a global perspective. We explore attitudes toward women artists and their work as well as the changing role of women in art world. There may be required visits to museums and/or artists’ studios.",Sustainability-inclusive,WGSS 121
"Art, Architecture, and Design",Women In Art,ART 121,ART,121,All offerings,"A history of women artists from Renaissance to present day, with emphasis on artists of the 20th and 21st century from a global perspective. We explore attitudes toward women artists and their work as well as the changing role of women in art world. There may be required visits to museums and/or artists’ studios. Cross-listed with WGSS 121",Sustainability-inclusive,WGSS 121
"Art, Architecture, and Design",Global Contemporary Art,ART 221,ART,221,All offerings,"Examines art and theory since World War II through the present in the global context. Topics include the development of abstract expressionism; conceptual art and the aesthetics of 1960s-era social movements; the politics of multiculturalism; the shift from contemporary to global in the 1990s; the rise of art biennials and the role of curators; post-Marxist and decolonial approaches to the arts; critical discourses on globalization; and issues of memory, trauma, migration, diaspora, and the environment. Includes museum and gallery visits.",Sustainability-inclusive,
Interdepartmental Arts,East Asian International Relations,ASIA 061,ASIA,061,All offerings,"Introduction to East Asian international relations, with emphasis on post-1945 period: historical background of Asian international system; Cold War conflicts; China's rise and regional responses; Japan's changing international role; the two Koreas; ASEAN and Asian regionalism; U.S. and Russian policies; current and future issues.",Sustainability-inclusive,IR 061
Interdepartmental Arts,U.S. - China Relations,ASIA 063,ASIA,063,All offerings,"Introduction and analysis of the historical context and key aspects of contemporary US-China relations: Cold War US containment, rapprochement and diplomatic normalization; American arms sale and the Taiwan controversy; conflict and cooperation in the Korean Peninsula; economic interdependence and frictions; human rights and security relations; Asian regional disputes.",Sustainability-inclusive,IR 063
Interdepartmental Arts,Freshman Seminar in Asian Studies,ASIA 090,ASIA,090,Specific offerings,"Have you ever wondered about Asia? It covers a vast geographic territory; it is divided into East, South, and Southeast Asia and each sub-region contains numerous different ethnic groups, cultures and nations. The time span for these cultures is similarly vast going back to pre-history and continuing through modern times. This is a team-taught course with four professors. Each semester, we investigate four interrelated topics such as Globalization, Life and Death, Racism and Xenophobia, and Crisis/Pandemics/Disasters through our four fields of study that range from food, material objects, to horror film. During the hands-on “Experiential Learning” sessions this year, students will cook and compare Asian instant noodles, observe and draw Chinese ceramics collection at Lehigh’s Zoellner Arts Center, and perform Japanese “Bon-odori” dance, a communal dance celebration that welcomes the spirits of the ancestors.",Sustainability-inclusive,
Interdepartmental Arts,Social Issues In Contemporary China,ASIA 114,ASIA,114,All offerings,"Dramatic Economic, cultural and social changes are underway in China today and have aroused much debate among social scientists East and West. The following social issues are critical for understanding China’s development trajectory: inequality and poverty; rapid demographic shifts; provision of health care services; provision of education services; and becoming an “information society.” We will explore how these issues intersect with old hierarchies in China, urban-rural differences, and gender differences.",Sustainability-inclusive,SOC 114
Interdepartmental Arts,Peoples & Cultures Of Southeast Asia,ASIA 187,ASIA,187,All offerings,"Peoples and cultures of Burma, Laos, Cambodia, Thailand, Malaysia, Singapore, Indonesia, and the Philippines. World view, religion, economy, politics, and social organization.",Sustainability-inclusive,ANTH 187
Interdepartmental Arts,Buddhism and Ecology,ASIA 254,ASIA,254,All offerings,"Buddhism’s intellectual, ethical, and spiritual resources are re-examined in light of contemporary environmental problems. Is Buddhism the most green of the major world religions? What are the moral implications of actions that affect the environment?",Sustainability-focused,"ETH 254, EVST 254, REL 254"
Interdepartmental Arts,Traditional Chinese Medicine: Historical Perspectives,ASIA 257,ASIA,257,All offerings,"This seminar focuses on conceptions of the human body and health that evolved from the ancient through early modern times. Special attention is paid to healing strategies, the roles of healers and patients, and the evolution of a medical canon. The course materials are in English.",Sustainability-inclusive,"HIST 257, HMS 257, MLL 257"
Biological Sciences,Oceanography,BIOS 032,BIOS,032,All offerings,"An introduction to the structure, composition, and processes of the earth from a marine perspective. Topics include earth structure, plate tectonics, continental margins, coastal processes, seawater chemistry, ocean circulation, wave dynamics, primary productivity, plankton and plants, marine organisms and communities.",Sustainability-inclusive,EES 032
Biological Sciences,Introduction to Integrative and Comparative Biology,BIOS 044,BIOS,044,All offerings,Experimental and historical approaches to the analysis of structural and functional properties in organisms. Use of scientific method to study species diversity. Introduction to the analysis of organismal attributes that explain behavioral repertoire and ecological relationships.,Sustainability-inclusive,
Biological Sciences,Freshman Seminar in Biological Sciences,BIOS 090,BIOS,090,Specific offerings,"The ocean covers more than 70% of the surface of our planet and provides vital resources and services for humanity. In this course, we will explore how we can apply ocean science, exploration, and technology to (1) remove carbon dioxide from the atmosphere, (2) source renewable energy and materials needed for its storage, (3) sustainably feed the global population, and (4) protect and restore biodiversity. Overall, ocean-based solutions are critical to ensuring the health and resilience of our oceans and the many benefits they provide to humanity. The big question examined in this course is central to achieving the Sustainable Development Goals (SDG) set by the United Nations, in particular: zero hunger (SDG2), affordable and clean energy (SDG7), industry innovation and infrastructure (SDG9), climate action (SDG13) and, life below water (SDG14). This course is also timely because the United Nations has designated 2021-2030 as the Decade of Ocean Science for Sustainable Development. The topics examined in this course are well aligned with the vision of the Ocean Decade “The science we need for the ocean we want.",Sustainability-inclusive,
Biological Sciences,Freshman Seminar in Biological Sciences,BIOS 090,BIOS,090,Specific offerings,"This course examines the basic biology underlying a range of human diseases from a genetic, molecular and cellular perspective. Using this information, we also explore how doctors treat patients with these diseases and how researchers envision the diseases will be treated in the future. Finally, we discuss how the science surrounding diseases and the development of new therapies is communicated to the general public.",Sustainability-inclusive,
Biological Sciences,Freshman Seminar in Biological Sciences,BIOS 090,BIOS,090,Specific offerings,"This course examines the ways chemicals from food, plastics, pesticides, herbicide, and industrial waste alter hormone action and affect physiology and behavior for generations, including changing sex, decreasing fertility, and increasing rates of cancer and other diseases. We explore the sources of endocrine disruption, the mechanisms of action, the interaction with climate, and discuss appropriate personal and policy responses.",Sustainability-inclusive,
Biological Sciences,Freshman Seminar in Biological Sciences,BIOS 090,BIOS,090,Specific offerings,"Women in Science: This course discusses women in science, past and present. Throughout the course, the contributions of women in STEM fields, primarily in the biological sciences, will be highlighted. Further, we will examine the barriers women in science face.",Sustainability-inclusive,
Biological Sciences,"Evolution, Ecology and Conservation in Ecuador and the Galapagos Islands - Lehigh Launch",BIOS 096,BIOS,096,Specific offerings,"An introduction to Ecuador's environmental diversity and associated problems. Ecuador's ecological regions, major groups of plants and animals, biodiversity and conservation issues, addresses natural resources management and environmental policies. Human impacts in the different ecological regions and the socio-political environment. Exploration of the concepts that shaped the Theory of Evolution (formulated during Darwin's visit to the Galapagos Islands) and principal concepts of evolutionary ecology, conservation biology as well as the balance of sustainability and development. Includes laboratory field work.",Sustainability-inclusive,
Biological Sciences,Wildlife Biology Conservation,BIOS 097,BIOS,097,Specific offerings,"Students will learn about the natural history and survival science for a variety of Wyoming Wildlife. Scientific analysis, exploration and observation throughout the course will offer students an opportunity to learn about native and non-native species, historical and current management issues, and how humans and wildlife intersect in the American West. A non-majors course in Biology.",Sustainability-inclusive,
Biological Sciences,Ecology and Evolution of Infectious Diseases,BIOS 296,BIOS,296,Specific offerings,"In this course, we will explore the causes and consequences of infectious disease at multiple scales—from whole organisms to entire ecosystems. By evaluating primary literature, leveraging theoretical models, and considering experimental design, we will aim to apply evolutionary and ecological understanding to the epidemics of the past, present, and future. This course can fulfill an elective from Biology Electives List A for the Biology major.",Sustainability-inclusive,
Biological Sciences,Responsible Conduct Of Science,BIOS 408,BIOS,408,All offerings,"Responsible practice in research. Training in general laboratory methods; human subjects concerns; radiation safety; chemical hazards; aseptic technique; physical, mechanical, biological, and fire hazards; animal welfare. Occupational and workplace considerations. Recombinant DNA guidelines; patent and proprietary rights; controversies over applications of science. Appropriate aspects required of investigators in all departmental research projects.",Sustainability-inclusive,
Biological Sciences,Marine Biology,BIOS 448,BIOS,448,All offerings,"Ecology and adaptations of marine species, populations, and ecosystems. With an average depth of more than two miles, the ocean makes up more than 95% of the habitable space on our planet. Ocean ecosystems are essential life support systems for the entire earth. Studying life in the ocean requires a perspective that spans spatial and temporal scales from the planetary to the microscopic, from the geologic to the physiological, and from the surface to the deepest seafloor.",Sustainability-inclusive,
Community Population Health,Outbreak Science & Public Health Forecasting,BSTA 395,BSTA,395,Specific offerings,"This course aims to introduce students to models that describe the spread of a pathogen through a population, and how models can support public health decisions. The course will be split into four parts: (i) the factors that motivate public health actions, (ii) epidemic models such as the Reed-Frost and SIR, (iii) statistical time series and forecasts, (ii) a focus on ensemble building. Students will be expected to complete mathematical/statistical exercises and write code that simulates infectious processes.",Sustainability-inclusive,
Community Population Health,Assistive Technologies,BSTA 397,BSTA,397,Specific offerings,"This class will introduce typical challenges faced by persons with disabilities and the role of assistive technologies (ATs) in solving such challenges. The class will examine opportunities presented by recent advances in mobile and AI technologies. Working in groups, each student will be expected to acquire and apply relevant skills in designing AT solutions. The class can be taken by students with diverse backgrounds including the following: community and population health, social and behavioral sciences, business, engineering and computer science.",Sustainability-inclusive,CSE 397
Community Population Health,Assistive Technologies,BSTA 497,BSTA,497,Specific offerings,"This class will introduce typical challenges faced by persons with disabilities and the role of assistive technologies (ATs) in solving such challenges. The class will examine opportunities presented by recent advances in mobile and AI technologies. Working in groups, each student will be expected to acquire and apply relevant skills in designing AT solutions. The class can be taken by students with diverse backgrounds including the following: community and population health, social and behavioral sciences, business, engineering and computer science.",Sustainability-inclusive,"CSE 397, BSTA 397"
Interdepartmental Engineering,Applications of Catastrophe Modeling and Resilience,CAT 402,CAT,402,All offerings,"Advanced analyses of various applications of catastrophe models, such as natural disasters or health-related threats to inform management and policies. Course activities include 1) reading recent publications on catastrophe model development, application and limitations, 2) practical exercises, in-class and as homework, about deterministic and stochastic model construction, and 3) result visualization of disaster impacts via geographic information systems. Theory and context-dependent practical problems on catastrophe model parameterization are covered. Students cannot receive credits for both CEE 332 and CAT 402.",Sustainability-inclusive,
Civil and Environmental Engr,Introduction To Environmental Engineering,CEE 170,CEE,170,All offerings,"Characterization and evaluation of natural water resources. Principles of basic water chemistry. Water and wastewater treatment processes. Sludge treatment, air pollution and multi-media transport. Pollutants mass balance and oxygen transfer. Field trips to water and wastewater process facilities. Laboratory experiments on water and wastewater characterization.",Sustainability-inclusive,
Civil and Environmental Engr,Community Health and Engineering,CEE 195,CEE,195,Specific offerings,"This course is an introduction to public health engineering. Students will learn to define hazards and risks to community health such as air pollution; water, sanitation, and hygiene; food; and settlement/safety. The focus of the course will be on understanding engineering controls to reduce risk and improve communicable and non-communicable disease outcomes. This course includes elements of waterborne disease control, hazardous materials management, occupational health and safety, and environmental interventions. Cross-listed with CGH 195",Sustainability-inclusive,CGH 195
Civil and Environmental Engr,Civil & Environmental Engineering Planning and Engineering Economics,CEE 202,CEE,202,"Pervizpour, Mesut ","The planning and management of civil engineering projects. Modeling and optimization methods, project management techniques. Financial decision-making among alternatives. Present value and discounted cash flow analysis; incremental analysis and rate-of-return criteria.",Sustainability-inclusive,
Civil and Environmental Engr,Environmental Risk Assessment,CEE 272,CEE,272,All offerings,"Effects of chemical releases on human health; ecological risks. Application of risk assessment methodology, including hazard identification, exposure assessment, toxicity assessment, and risk characterization. Accounting for uncertainty in data during risk management, risk reduction and implementation of regulations and environmental policy.",Sustainability-inclusive,
Civil and Environmental Engr,Environmental Water Chemistry,CEE 274,CEE,274,All offerings,"Effects of chemical releases on human health; ecological risks. Application of risk assessment methodology, including hazard identification, exposure assessment, toxicity assessment, and risk characterization. Accounting for uncertainty in data during risk management, risk reduction and implementation of regulations and environmental policy.",Sustainability-inclusive,
Civil and Environmental Engr,"Environmental, Geotechnics and Hydraulics Laboratory",CEE 275,CEE,275,All offerings,"Applying fundamentals of soil properties, hydraulics and environmental science through appropriate laboratory experiments for solution of environmental engineering problems. Experiments will include solute transport in surface and subsurface medium; characterization of soils, sludges and water; treatment of water and wastewater including biological processes. Illustration of techniques to generate design parameters for scale-up.",Sustainability-inclusive,
Civil and Environmental Engr,Civil & Environmental Engineering Design Project,CEE 290,CEE,290,Specific offerings,"Supervised design projects. Multidisciplinary teams applying the fundamentals of engineering science and the concepts of planning and systems analysis in the design of practical engineering works. The scope includes needs analysis, formulation of the design problem statement and evaluative criteria; analysis of alternative solutions and the generation of specifications. Includes most of the following considerations: economic, sustainability, manufacturability, ethical, social, environmental, aesthetic, political, health and safety. Practicing professional engineers are invited to serve as consultants. Written and oral reports are required. Must have senior standing in CEE department.",Sustainability-inclusive,
Civil and Environmental Engr,Hydrogeology,CEE 316,CEE,316,All offerings,"Water plays a critical role in the physical, chemical, and biological processes that occur at the Earth's surface. This course is an introduction to surface and groundwater hydrology in natural systems, providing fundamental concepts and a process-level understanding using the hydrologic cycle as a framework. Geochemistry will be integrated to address natural variations and the human impact on the environment. Topics covered include: watershed hydrology, regional and local groundwater flow, water chemistry, and management of water resources. Lectures and laboratory.",Sustainability-inclusive,EES 316
