Department,College,Credits,Course,Program,CourseCode,Crosslist,CourseName,CourseDescription,Attributes
Africana Studies,Arts & Sciences,4,AAS 132,AAS,132,THTR 132,Hip Hop Theatre ,"Introduction to the creation and performance of Hip Hop Theatre. Exploration of the history and culture of Hip Hop through original written material, live performance, music, film, video and web based content. Public Performances. Must have audition.  Consent given by instructor.","AL, CC, HU"
Africana Studies,Arts & Sciences,4,AAS 134,AAS,134,HIST 134,History and Cultures of Ghana ,"Overview of Ghana's history and cultures from the fifteenth century, examining diversity among various ethnic groups and covering such themes as religion, literature, art, music/dance, gender, family and anti-colonial movements. The course will also explore how slave castles/forts contributed to the transatlantic slave trade, Pan-Africanism and global tourism.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,4,AAS 140,AAS,140,THTR 140,African American Theatre ,"Foundations of African theater: historical, literacy, and practical.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,4,AAS 155,AAS,155,"LAS 155, SOC 155",Afro-Latino Social Movements in Latin America &amp; the Caribbean ,"This  focuses on Afro-Latinos who make up nearly 70% of the population of the Americas. Despite the large amount of people of African descent living in the Americas, Afro-Latinos are an understudied population who face significant amounts of racial discrimination in their countries. Who are Afro-Latinos? Where do they live? How are they challenging the racism that they face? These are questions we will tackle in this course.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 163,AAS,163,SOC 163,Sociology of Hip Hop Culture ,"Hip Hop culture is a complex form of artistic practices reflecting and impacting the environments in which they were produced. Through readings, music and video, this class will uncover the origins of Hip Hop by examining the musical history of the Afro-diaspora in the 20th century. Further study will reveal how the young Bronx, NY underclass in the 1970s fused elements of past musical styles with their own personal and political expression that sparked a worldwide phenomenon and culture industry.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 164,AAS,164,"SOC 164, WGSS 164",Sociology of Black Families ,"The objective of this course is to help students learn more about Black family experiences within the United States and globally. In approaching the course with an intersectional lens, students will learn about the varied experiences of Black families, and the ways in which these experiences are embedded in empowerment, disempowerment, and self-actualization. Students will leave the course understanding Black families at the intersection of fatherhood, motherhood, marriage, singlehood, childrearing, LGBTQ families, interracial families, transnational families, and aging.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 176,AAS,176,"GS 176, HIST 176, HMS 176",Keeping Africa and Africans Healthy: A History of Illness and Wellness ,"What are the myths about diseases in Africa and how does the world respond to health crises there? What are the African healing traditions? What is the history of global health in Africa and its implications for illness and wellness? This course explores health interventions and initiatives by Africans and non-Africans including missionaries, colonial officials, and NGOs. Students’ final papers will perform a “post-mortem” on Africa, critically tracing how efforts to control, manage and eradicate diseases have succeeded or failed.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3,AAS 178,AAS,178,"GS 178, HIST 178",Globalization and Health in Ghana ,"This 4-week field-based course fosters global engagement by introducing students to the historical, social, cultural, and political factors at the forefront of globalization and health processes in Ghana.","CC, HE, SS, W"
Africana Studies,Arts & Sciences,1,AAS 191,AAS,191,,Special Topics ,Study of a subject or issue in Africana Studies not covered in other courses. May be repeated for credit as subtitle varies.,"AL, CC, HE, HU, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 210,AAS,210,"POLS 210, WGSS 210",Revolution on Campus ,"Universities are often sites of political protest. Some of these protests are expressive but ineffective, others can spark revolutions and regime change. Why? What distinguishes universities as sites for resistance? What makes students prone to mobilization? The study of politics can seem like an abstract pursuit, one that is not relevant to our lives. This course takes the scholarly literature on social movements and applies it to the university. Students will engage in social activism as part of this course.","CC, SS, SW"
Africana Studies,Arts & Sciences,4,AAS 230,AAS,230,POLS 230,Social Movements From the 1960s to Present ,"The lessons of U.S. social and political movements from the 1960s and the post-2000 era. Students examine social movements through the lens of intersectionality, with a focus on civil rights, anti-war activism, women’s rights, global justice, and ecology movements, to assess their connection to democracy and citizens’ lives.","CC, SS, SW"
Africana Studies,Arts & Sciences,1-4,AAS 291,AAS,291,,Special Topics ,Study of a subject or issue in Africana Studies not covered in other courses. May be repeated for credit as subtitle varies.,"CC, HU, SS, W"
Africana Studies,Arts & Sciences,1-4,AAS 299,AAS,299,,Internship in Africana Studies ,Work experience with an off-campus organization for practical experience in an Africana Studies-related field. Sophomore standing and program director’s approval required. Course may be repeated for up to four credits.,"CC, W"
Africana Studies,Arts & Sciences,4,AAS 305,AAS,305,"EVST 305, POLS 305",Residential Segregation: Policies and Practices ,"This course is an introductory planning course, with an emphasis on housing and community development policy. It will examine historical and contemporary aspects of urban politics; the economic, demographic, and spatial evolution of American cities; and various urban problems, such as the spatial mismatch between people and jobs, housing quality and affordability, and residential segregation. Finally, the course will review how planners have addressed conditions in cities and regions over time.","CC, SS, SW"
Africana Studies,Arts & Sciences,4,AAS 312,AAS,312,"FREN 312, MLL 312",Modernity in the Maghreb ,"Emergence of the modern self through a comparative study of textual as well as visual representations of postcolonial subjects by male and female writers and film makers. Study of the way the sociopolitical context of countries such as Morocco, Algeria and Tunisia informs the constitution of subjectivity within a multicultural and multilingual community. Issues such as patriarchy, nationalism, colonialism, post colonialism, identity, gender, and Islam in North African literature and film from Franco-Arab traditions.","AL, CC, HU, W"
Africana Studies,Arts & Sciences,4,AAS 313,AAS,313,SOC 313,Keep the Change: Social Movements in Society ,"Interested in how social change works? Or how to stop it? This seminar provides an introduction to the origins, dynamics, and consequences of historical and contemporary social movements, beginning with the American Civil Rights Movement. Students will discuss and develop their own ideas on these issues through examination of social movement theory and empirical case studies. They will also explore more general questions about the relationship between human agency, social structure, and historical change. More information is available at https://wordpress.lehigh.edu/zim2/soc313/.","CC, SS, SW"
Africana Studies,Arts & Sciences,4,AAS 314,AAS,314,"GS 314, HMS 314, SOC 314","Infections and Inequalities: HIV, TB and Malaria in the Global South ","This course will explore the social, economic, and environmental causes of HIV, TB, and malaria in developing nations, with a particular focus on the characteristics and causes of these diseases in Sub-Saharan Africa. Students will engage theories and perspectives on development, globalization, and social inequality to explain trends in HIV, TB, and malaria and to understand why certain groups are more vulnerable to infection than others. Prerequisite: Junior/senior standing with declared major/minor in SOC, ANTH, SOAN, HMS, GS, or AAS.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 317,AAS,317,"ANTH 317, GS 317",So You Want to Save the World: Anthropological Encounters with Humanitarianism and Development ,"We are often motivated by the desire to “give back”-- feed the hungry, heal the sick, and help those less fortunate than ourselves. Anthropological research on humanitarian aid, development projects, and other interventions meant to improve human lives in various contexts shows us why these efforts often go awry. Focusing primarily on settings outside the U.S., students will consider the pitfalls of developmental and humanitarian interventions as well as the crucial role of local knowledge in addressing complex global problems.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,3-4,AAS 318,AAS,318,ENGL 318,Topics in African American Literature and Culture 3-,"Special Topics in African American culture and/or the cultures of the African diaspora. Topics may be focused by period, genre, thematic interest or interdisciplinary method including, for example, “Nineteenth-century African American Literature and Politics”, “African-American Folklore”, “Black Atlantic Literature”, “The Harlem Renaissance”, “African-American Women Writers”.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3-4,AAS 320,AAS,320,ENGL 320,Imagining Freedom: 19th-Century African American Literature and Politics 3-,"In the midst of slavery and its violent aftermath, African Americans dreamed of freedom. These imaginings of freedom are among the richest cultural legacies of the American people and a necessary part of any effort to understand our nation’s contradictory history. Students will read slave-narratives, novels, poems, protests against slavery and lynching, demands for political rights and women’s equality, calls for slave rebellion and appeals for inter-racial cooperation. Readings include Frederick Douglass, Harriet Jacobs, Sojourner Truth, Harriet Wilson, Charles Chesnutt.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3-4,AAS 322,AAS,322,"HIST 322, WGSS 322","African Women, Voices and Lives 3-","This course traces the changing history and status of African women. It positions their voices and biographies at the center of broader narratives that often perceive them as powerless, emerging from a lineage of poverty and oppression, and without agency. What happens when African women speak for themselves? We will explore the intersections of gender, class, race, and power to emphasize how women have been instrumental in shaping African history from the pre-colonial period to the present.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3-4,AAS 325,AAS,325,ENGL 325,"The Harlem Renaissance: Early 20th-Century African American Literature, Art and Politics 3-","Explore the extraordinary flowering of African American literary, artistic and political life in the early 20th century. Study masterpieces of African American literature, music, visual art, and political imagination. Consider how artists and activists represented the diversity of Black life in America and reimagined race relations during the Jim Crow era. Learn how works by Langston Hughes, Zora Neale Hurston, Bessie Smith, Aaron Douglas and many others can assist us in realizing the promise of racial justice.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,4,AAS 327,AAS,327,HIST 327,The Black Intellectual Tradition ,"From the ideas of Phillis Wheatley and other writers in early America to Black intellectuals in the Civil Rights movement and up to the present day, this seminar explores the thinkers critical to the establishment of a Black intellectual tradition. This course emphasizes the concepts and debates central to this tradition, as well as the sites and sources of Black intellectual exchange, including monographs, speeches, newspapers, podcasts, and social media.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3,AAS 331,AAS,331,HIST 331,"United States and Africa 3,","Reciprocal relationships between North America and the African continent from the slave trade in the seventeenth century to the twentieth century Afrocentric movement; impact of Americans on shaping of modern Africa, Pan-African relations; influence of African Americans on U.S. policies toward Africa.","CC, HE, SS, W"
Africana Studies,Arts & Sciences,4,AAS 333,AAS,333,JOUR 333,"Reporting the Crises: Identity, Journalism and Power ","This seminar helps students understand the role of journalists, media-makers and citizens at the intersection of identity and inequality in times of crisis. It covers issues of race, class and gender with a specific emphasis on anti-Black racism, showing how media can be consciously or unwittingly used to further discrimination and support ongoing structures and patterns of harm. Ultimately students will explore how new media platforms, organizations and workers might undertake more equitable practices for a more equal media future.","CC, SS"
Africana Studies,Arts & Sciences,"3,4",AAS 341,AAS,341,"GS 341, HIST 341","Global Africa: Aid, Volunteerism, NGO's and International Studies 3,","This course traces the origins of Aid to Africa, explores various volunteer activities, and investigates the role of NGOs, missionaries, philanthropists, medical practitioners, and global education. It examines the ways that cross-cultural interactions and exchanges between Africans and foreigners shaped African societies both positively and negatively.","CC, HE, SS, W"
Africana Studies,Arts & Sciences,4,AAS 379,AAS,379,SOC 379,Race and Class in America ,"This course focuses on the ways in which race and class intersect in the social, economic, and political structures of American society. Through sociological literature, fiction, nonfiction, film, and other media we will explore the place of race and class in American society. We will examine how race and class operate on a personal, ""micro"" level, while at the same time operating on a large scale, ""macro"" level.","CC, SS, SW"
Africana Studies,Arts & Sciences,1-4,AAS 382,AAS,382,,Seminar on a topic in Africana Studies ,Advanced study of a subject or issue in Africana Studies not covered in other courses.,"CC, W"
Africana Studies,Arts & Sciences,4,AAS 389,AAS,389,,Seminar in Africana Studies ,An upper-level seminar in Africana Studies will serve as a Capstone experience for Africana Studies majors. The course is also open to non-majors who want to develop their research skills on topics relevant to Africana Studies. The course will expand on students’ understanding of Africana Studies based on their prior AAS coursework and will guide them through a research project. Consent of department required.,"CC, HU, SS, W"
Africana Studies,Arts & Sciences,1-4,AAS 390,AAS,390,,Honors Thesis ,Directed undergraduate research thesis required of Africana Studies majors who apply for and qualify for graduation with program honors. Students must complete a minimum of 4 Honors Thesis credits and attain a 3.5 grade point average in the major and a 3.2 grade point average overall. Permission of the program director required.,"CC, W"
Africana Studies,Arts & Sciences,1-4,AAS 391,AAS,391,,Special Topics ,"A topic, genre, or approach in literature or writing not covered in other courses.","CC, HU, SS, W"
Arabic,Arts & Sciences,4,ARAB 012,ARAB,012,,Intermediate Arabic II ,"Enhancement of communication skills, proficiency, competence, and use of the language. Students will enhance and develop their ability to understand the spoken word and to converse on a variety of topics; discuss, narrate, and read authentic materials that cover a variety of issues and topics; e.g., educational, cultural, and factual; write short paragraphs; recognize and use grammatical rules in context; and expand cultural awareness through class discussion and reading materials. Frequently taught in the target language to emphasize and reinforce.","AL, CC, HU"
Arabic,Arts & Sciences,1-4,ARAB 091,ARAB,091,,Special Topics ,Materials not covered in regular courses.,"AL, CC, HE, HU, W"
Arabic,Arts & Sciences,1-8,ARAB 099,ARAB,099,"ASIA 099, CHIN 099, FREN 099, GERM 099, HEBR 099, JPNS 099, MLL 099, RUSS 099, SPAN 099",Language &amp; Culture Abroad I ,"Beginning level of Arabic languages, literatures, or culture courses taught abroad.","AL, CC, HE, HU, W"
Arabic,Arts & Sciences,1-4,ARAB 180,ARAB,180,,Independent Study ,Topics related to Arabic language not covered in regular courses.,"AL, CC, HU, W"
Arabic,Arts & Sciences,1-4,ARAB 191,ARAB,191,,Special Topics ,Materials not covered in regular courses.,"AL, CC, HE, HU, W"
Arabic,Arts & Sciences,0-8,ARAB 199,ARAB,199,"ASIA 199, CHIN 199, FREN 199, GERM 199, HEBR 199, JPNS 199, MLL 199, RUSS 199, SPAN 199",Language &amp; Culture Abroad II ,"Intermediate level of Arabic language, literature, or culture courses taught abroad.","AL, CC, HE, HU, W"
Arabic,Arts & Sciences,4,ARAB 232,ARAB,232,,Third Year Arabic II ,"Continuation of Third Year Arabic I. Emphasis on comprehension of written and spoken language. Dialogue, reading, and analysis of texts to enhance critical thinking, as well as promote mastery of the language. Immersion in overall increase in fluency. Advanced level geared towards command and comprehension of conversation and written texts, textbooks, and media (i.e., newspaper, magazine).","AL, CC, HU, W"
Arabic,Arts & Sciences,1-4,ARAB 280,ARAB,280,,Independent Study ,Topics related to Arabic language not covered in regular courses.,"AL, CC, HU, W"
Arabic,Arts & Sciences,1-4,ARAB 291,ARAB,291,,Special Topics ,Materials not covered in regular courses.,"AL, CC, HU, W"
Arabic,Arts & Sciences,0-8,ARAB 299,ARAB,299,"ASIA 299, CHIN 299, FREN 299, GERM 299, HEBR 299, MLL 299, RUSS 299, SPAN 299",Language &amp; Culture Abroad III ,"Advanced level of Arabic language, literature, or culture courses taught abroad.","AL, CC, HU, W"
Arabic,Arts & Sciences,4,ARAB 341,ARAB,341,,Fourth Year Arabic I ,"Enhance fluency, particularly conversational and written Arabic. Reading and analysis of texts to enhance critical thinking, and promote mastery of the language. Immersion and overall increase in fluency. Students will be expected to communicate with classmates and the instructor in Arabic and to make presentations in Arabic pertaining to current events. Increased use of Arabic during classroom instruction. Students expected to come prepared to present something that utilizes the language: poems, personal stories or experiences, current event articles etc.","AL, CC, HU, W"
Arabic,Arts & Sciences,4,ARAB 342,ARAB,342,,Fourth Year Arabic II ,"Continuation of Fourth Year Arabic I. Enhance fluency, particularly conversational and written Arabic. Emphasis on reading and analysis of texts to enhance critical thinking, promote mastery of the language. Immersion and overall increase in fluency. Students will be expected to communicate with classmates and the instructor in Arabic and to make presentations in Arabic pertaining to current events. Increased use of Arabic during classroom instruction. Students expected to come prepared to present something that utilizes the language: poems, personal stories.","AL, CC, HU, W"
Arabic,Arts & Sciences,1-4,ARAB 380,ARAB,380,,Independent Study ,Topics related to Arabic language not covered in regular courses.,"AL, CC, HU, W"
Arabic,Arts & Sciences,1-4,ARAB 391,ARAB,391,,Special Topics ,Materials not covered in regular courses.,"CC, HU, W"
Arabic,Arts & Sciences,0-8,ARAB 399,ARAB,399,"CHIN 399, FREN 399, GERM 399, HEBR 399, JPNS 399, MLL 399, RUSS 399, SPAN 399",Language &amp; Culture Abroad IV ,"Professional level of Arabic language, literature, or culture courses taught abroad.","AL, CC, HU, W
]"
Architecture,Arts & Sciences,4,ARCH 126,ARCH,126,"ART 126, THTR 126",History of Interior Design and Decor ,"Survey of architectural interiors and décor examining public and domestic spaces and their contents in terms of period and style. Exploration of major art and design movements through the lens of interior spaces and objects within the context of
culture and society.","CC, HE, HU"
Architecture,Arts & Sciences,4,ARCH 157,ARCH,157,,Architectural Technology I ,"The two-course sequence (ARCH 157 &amp; ARCH 158) introduces the use of building materials, components and systems (slabs, walls, trusses, facade systems, etc.) while providing students with the knowledge to design and construct comfortable, technically sound and aesthetically pleasing buildings. Recommended to be taken concurrently with ARCH 143.","CC, HU, Q"
Architecture,Arts & Sciences,4,ARCH 158,ARCH,158,,Architectural Technology II ,"The two-course sequence (ARCH 157 &amp; ARCH 158) introduces the use of building materials, components and systems (slabs, walls, trusses, facade systems, etc.) while providing students with the knowledge to design and construct comfortable, technically sound and aesthetically pleasing buildings. Recommended to be taken concurrently with ARCH 243.","CC, HU, Q"
Architecture,Arts & Sciences,3,ARCH 159,ARCH,159,,Modern History and Sustainable Architecture in Munich ,"This Lehigh faculty-led study abroad program allows students from an array of majors to earn three credits over winter break. The program will explore the history, culture, and architecture of Munich, a capital and center of the southern state of Germany, Bavaria. The program of study does not require German language skills. Fulfills an history/theory elective requirement for the BA in Architecture major.","AL, CC, HU"
Architecture,Arts & Sciences,3,ARCH 184,ARCH,184,"GS 184, HIST 184",Paris: The Global City ,"An overview of the development of the city of Paris from its origins as an outpost on the far reaches of the Roman Empire to its rise as capital of medieval Christendom, from seat of Absolute Monarchy to birthplace of modern revolutions, resistance and occupation in the era of world wars, and model of modern urban planning in the 19th, 20th and 21st centuries. Focus is on the way global contexts shaped social and political life at the local level.","CC, HE, HU"
Art,Arts & Sciences,4,ART 121,ART,121,WGSS 121,Women in Art ,"A history of women artists from Renaissance to present day, with emphasis on artists of the 20th and 21st century from a global perspective. We explore attitudes toward women artists and their work as well as the changing role of women in art world. There may be required visits to museums and/or artists’ studios.","CC, HE, HU"
Art,Arts & Sciences,4,ART 126,ART,126,"ARCH 126, THTR 126",History of Interior Design and Decor ,"Survey of architectural interiors and décor examining public and domestic spaces and their contents in terms of period and style. Exploration of major art and design movements through the lens of interior spaces and objects within the context of
culture and society.","CC, HE, HU"
Art,Arts & Sciences,4,ART 127,ART,127,,History of Photography ,"An overview of the history of photography and its theoretical debates since the inception of the medium in the early 19th century through the present. Combining lectures, on-site analysis of works from the Lehigh University Art Galleries, guest speakers, and exhibition visits, students will explore themes including the function of photographs in different historical and cultural contexts; photography’s relation to fiction, truth, ethics, and aesthetics; and the role of materials, techniques, and reproduction in the creation of meaning.","CC, HE, HU"
Art,Arts & Sciences,3,ART 131,ART,131,MUS 131,Music and the Creative Arts ,"This course examines collaborations, convergences and cross-influences between musicians, visual artists and other creatives in late 19th-early 20th century Europe and America. Students explore ways artists responded as individuals and collaborators, gain perspective on aesthetic movements including romanticism, realism, impressionism, symbolism, expressionism, futurism, dada, surrealism, and how these movements shaped the development of modernist culture. Students work with materials in the Music Department and LU Art Galleries teaching collection, studying the connections between music and visual works.","CC, HE, HU, W"
Art,Arts & Sciences,4,ART 175,ART,175,,Introduction to Museums and Museum Professions ,"Museums preserve and interpret cultural and natural heritage for the benefit of the public, but are also complex networks of professionals whose common goal is to create knowledge, share information, and connect with their communities. Students will gain an understanding of museum origins and histories, followed by an introduction to the wide range of museum professions such as curatorial, education, collections management, conservation, exhibition design, and administration. Recommended (but not required) as the introductory course for the Museum Studies minor.","CC, HE, HU"
Art,Arts & Sciences,3,ART 182,ART,182,"DES 182, THTR 182",Immersive Design: 3D World Building and Digital Interaction ,"This course explores immersive media design through creating interactive 3D environments that integrate art, technology, and storytelling. Students engage with contexts like Game Design, Virtual Reality, and Music Videos, focusing on user experience and 3D interfaces. Utilizing platforms like Unity/Unreal, students experiment with Cinema 4D, Blender, creative coding, Meta Quests for VR, and 3D scanning. Projects draw inspiration from interdisciplinary sources, including game design workflows, theatrical worldbuilding, site-specific art, critical cartography, Land Art, and contemporary design practices.","AL, CC, HU, Q"
Art,Arts & Sciences,3,ART 183,ART,183,"GS 183, HIST 183","France from Medieval to Modern:Soc., Pol. &amp; Art ","France's artistic, cultural, social, artistic and political development from early kingship and dominance of the Church in the Middle Ages to the grandeur of Versailles in the Age of Absolutism; radical transformations of culture and society during the French Revolution and advent of the Modern Nation-State; to twentieth century developments including the two World Wars, imperialism and impact of post-war globalization. Offered in summer only through Lehigh Study Abroad Office as part of Lehigh in Paris program.","CC, HE, HU"
Art,Arts & Sciences,4,ART 221,ART,221,GS 221,Global Contemporary Art ,"Examines art and theory since World War II through the present in the global context. Topics include the development of abstract expressionism; conceptual art and the aesthetics of 1960s-era social movements; the politics of multiculturalism; the shift from contemporary to global in the 1990s; the rise of art biennials and the role of curators; post-Marxist and decolonial approaches to the arts; critical discourses on globalization; and issues of memory, trauma, migration, diaspora, and the environment. Includes museum and gallery visits.","CC, HE, HU, W"
Art,Arts & Sciences,4,ART 227,ART,227,LAS 227,Latin American Art ,"Presents an overview of the origins and development of Latin American art since the independence period in the 19th century through the present. Understanding ""Latin"" American as a cultural construct that extends from Mexico to Tierra del Fuego and includes the Caribbean and Latinx cultures of the United States, the course examines key art movements and discourses across the region through the lens of historical and political events. Includes museum and gallery visits.","CC, HE, HU, W"
Art,Arts & Sciences,4,ART 275,ART,275,,Museum Collections and Exhibitions ,"Museums often consider their collections as “core” to their work, and even their reason for existence. But how do museums move beyond simply being “object warehouses” and activate their collections to create public value? This course analyzes how museums care for, manage, and present their collections to the public through a range of formats, including exhibitions. Students will engage in hands-on learning and will contribute to a project at the Lehigh University Art Galleries (LUAG).","CC, HE, HU"
Art,Arts & Sciences,4,ART 276,ART,276,,Museum Education and Interpretation ,"Museum collections can remain remarkably silent unless they are activated by skilled professionals charged with facilitating connections between objects and people. In this course, students investigate the critical role of museum educators, from gallery teaching to program development. Students will also explore other interpretive areas of museum work, from exhibition texts and labels to digital media and audio guides. Student will have the opportunity to teach with objects for the public at the Lehigh University Art Galleries (LUAG).","CC, HE, HU"
Art,Arts & Sciences,1-4,ART 370,ART,370,,Special Topics in Museum Studies ,Special topics related to museum studies. Directed projects in museum and exhibition related fields. Consent of instructor required.,"CC, HE, HU, W"
Asian Studies,Arts & Sciences,4,ASIA 061,ASIA,061,IR 061,East Asian International Relations ,"Introduction to East Asian international relations, with emphasis on post-1945 period: historical background of Asian international system; Cold War conflicts; China's rise and regional responses; Japan's changing international role; the two Koreas; ASEAN and Asian regionalism; U.S. and Russian policies; current and future issues.","CC, SS, SW"
Asian Studies,Arts & Sciences,4,ASIA 063,ASIA,063,IR 063,U.S.-China Relations ,"Introduction and analysis of the historical context and key aspects of contemporary US-China relations: Cold War US containment, rapprochement and diplomatic normalization; American arms sale and the Taiwan controversy; conflict and cooperation in the Korean Peninsula; economic interdependence and frictions; human rights and security relations; Asian regional disputes. Students may not receive credit for both IR/ASIA 063 and IR/ASIA 163.","CC, SS, SW"
Asian Studies,Arts & Sciences,4,ASIA 069,ASIA,069,HIST 069,Pacific Crossings: An Asian American History ,"Asian Americans and Pacific Islanders (AAPI), as immigrants, sojourners, settlers, refugees, and members of overthrown sovereign kingdoms, have played key roles in shaping American law, politics, and culture while navigating familial and cultural ties that cross the Pacific. Yet, AAPI have often been left out of American histories and forgotten. Through field trips and experiential learning, this course will explore and restore Asian American history to its rightful place as an essential part of the American experience.","CC, SW"
Asian Studies,Arts & Sciences,4,ASIA 075,ASIA,075,"HIST 075, MLL 075",Chinese Civilization ,"This course reviews the evolution of Chinese culture from the Neolithic up to the end of the imperial age in 1911. While the framework is historical, students are exposed to all facets of what defines civilization, including social traditions, philosophy, religion, material culture, literature, art and architecture, military science, education, law, and institutional history. Students are encouraged to continue their study of China afterwards with the course on Modern Chinese Civilization.","CC, HE, HU, SS, W"
Asian Studies,Arts & Sciences,4,ASIA 078,ASIA,078,MLL 078,Asian-American Studies ,"A survey of issues concerning Asians living in the United States from the perspectives of history, language, literature, and film.","CC, HE, HU"
Asian Studies,Arts & Sciences,4,ASIA 080,ASIA,080,HIST 080,In Search for Modern China ,"This course is designed as a survey history of modern China from the late Ming to the present. We will ask some important questions over the course of the semester. When does ""modern"" China begin? How do we approach modern Chinese history? What are the boundaries of China/Chinese identity? Could these concepts stretch to include the Chinese diaspora? How has Chinese imperial history affected contemporary China’s state and society?","CC, HE, SS, W"
Asian Studies,Arts & Sciences,1-4,ASIA 091,ASIA,091,,Special Topics ,"A topic, genre, or intensive, research-oriented study of a subject or issue in Asian Studies not covered in other courses.","AL, CC, HE, HU, SS, SW, W"
Asian Studies,Arts & Sciences,4,ASIA 115,ASIA,115,"MLL 115, WGSS 115","Sex, War, Women, Art ","Through the study of selected visual and literary works in their historical and social contexts, students will gain knowledge of Japan. This course examines various cultures from the perspectives of gender and sexuality as constitutive factors of Japanese society. Materials include a film depicting a romantic life of samurai, art works by contemporary women artists, and writings on sex workers, impacted by the Japanese empire. Students will be exposed to feminist theories in this course; taking WGSS001 is recommended prior.","CC, HE, HU, W"
